condition,img,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,Session,Participant,
img_left,common/recall_cross_IL.png,0,0,0,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,0,1,1,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,0,2,2,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,0,3,3,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,0,4,4,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,1,0,5,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,1,1,6,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,1,2,7,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,1,3,8,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,1,4,9,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,2,0,10,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,2,1,11,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,2,2,12,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,2,3,13,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,2,4,14,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,3,0,15,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,3,1,16,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,3,2,17,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,3,3,18,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,3,4,19,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,4,0,20,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,4,1,21,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,4,2,22,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,4,3,23,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,4,4,24,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,5,0,25,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,5,1,26,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,5,2,27,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,5,3,28,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,5,4,29,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,6,0,30,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,6,1,31,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,6,2,32,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,6,3,33,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,6,4,34,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,7,0,35,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,7,1,36,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,7,2,37,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,7,3,38,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,7,4,39,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,8,0,40,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,8,1,41,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,8,2,42,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,8,3,43,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,8,4,44,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,9,0,45,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,9,1,46,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,9,2,47,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,9,3,48,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,9,4,49,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,10,0,50,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,10,1,51,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,10,2,52,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,10,3,53,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,10,4,54,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,11,0,55,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,11,1,56,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,11,2,57,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,11,3,58,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,11,4,59,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,12,0,60,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,12,1,61,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,12,2,62,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,12,3,63,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,12,4,64,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,13,0,65,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,13,1,66,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,13,2,67,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,13,3,68,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,13,4,69,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,14,0,70,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,14,1,71,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,14,2,72,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,14,3,73,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,14,4,74,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,15,0,75,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,15,1,76,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,15,2,77,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,15,3,78,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,15,4,79,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,16,0,80,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,16,1,81,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,16,2,82,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,16,3,83,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,16,4,84,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,17,0,85,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,17,1,86,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,17,2,87,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,17,3,88,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,17,4,89,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,18,0,90,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,18,1,91,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,18,2,92,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,18,3,93,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,18,4,94,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
imag_third,common/recall_cross_IT.png,19,0,95,4,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_left,common/recall_cross_IL.png,19,1,96,2,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_left,common/recall_cross_EL.png,19,2,97,0,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
exec_right,common/recall_cross_ER.png,19,3,98,1,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
img_right,common/recall_cross_IR.png,19,4,99,3,2018_Oct_01_1920,59.93721605488633,Real/Imagery motor movement,2,17,
